employee_id,gender,annual_salary_amount_in_usd,job_experience,job_pay_level,full_or_part_time,hourly_or_salary,job_family_group,job_continent
100148361,Male,21386.7,27,Senior Associate,Full time,Salary,Expansion,Americas
100842163,Female,32760.0,2,Second Year Associate,Full time,Hourly,Catering,Americas
100464825,Male,82498.88,3,Senior Associate,Full time,Salary,Pricing Analytics,Americas
100443147,Female,65025.0,2,Team Lead,Full time,Salary,Strategy,Americas
100405645,Female,138750.0,9,Manager,Full time,Salary,Technology Services,Americas
100510770,Male,150002.63,8,Manger II,Full time,Salary,Client Strategy,Americas
100240033,Male,90768.75,9,Team Lead,Full time,Salary,Client Strategy,Americas
100113785,Male,63750.0,9,Senior Associate,Full time,Salary,Client Strategy,Americas
100612788,Male,33930.0,40,Junior Associate,Part time,Hourly,Government Consulting,Americas
100176604,Female,51000.06,8,Junior Associate,Full time,Salary,Catering,Americas
100533537,Male,87340.79,11,Manager,Full time,Salary,Customer Experience,Europe
100373150,Female,25910.82,5,Entry Level,Full time,Hourly,Research,Americas
100488151,Male,89138.54,8,Manager,Full time,Salary,Pricing Analytics,Europe
100832011,Male,53838.93,9,Senior Associate,Full time,Salary,Client Strategy,Europe
100894289,Male,131250.0,8,Manager,Full time,Salary,Patent Law,Americas
100686089,Female,93632.92,10,Manager,Full time,Salary,Client Strategy,Europe
100915449,Male,25911.6,9,Entry Level,Full time,Hourly,Research,Americas
100262094,Female,13607.76,5,Junior Associate,Full time,Salary,Customer Experience,Americas
100003788,Male,40407.87,9,Second Year Associate,Full time,Salary,Strategy,Asia
100893528,Male,94500.0,7,Team Lead,Full time,Salary,Client Techology,Americas
100753445,Female,57937.5,5,Team Lead,Full time,Salary,Catering,Americas
100927404,Male,90000.0,2,Junior Associate,Full time,Salary,Technology Services,Americas
100798122,Male,148242.75,11,Manager,Full time,Salary,Technology Services,Americas
100298835,Female,9080.19,6,Junior Associate,Full time,Salary,Catering,Africa
100620915,Female,84497.63,11,Team Lead,Full time,Salary,R&D,Europe
100527655,Female,29485.45,8,Junior Associate,Full time,Salary,Catering,Europe
100882036,Female,50546.47,16,Team Lead,Full time,Salary,Catering,Europe
100088412,Female,52530.0,5,Team Lead,Full time,Salary,Catering,Americas
100752878,Male,142494.0,14,Manger II,Full time,Salary,R&D,Americas
100142483,Male,35256.0,7,Second Year Associate,Full time,Hourly,Catering,Americas
100991352,Male,76125.0,5,Team Lead,Full time,Salary,Client Strategy,Americas
100370653,Female,75000.0,13,Junior Associate,Full time,Salary,Technology Services,Americas
100195759,Female,60758.41,10,Team Lead,Full time,Salary,Strategy,Europe
100550810,Female,74503.77,8,Manger II,Full time,Salary,Catering,Europe
100826501,Male,117041.16,4,Manager,Full time,Salary,Pricing Analytics,Europe
100569832,Male,138750.0,7,Manger II,Full time,Salary,Expansion,Americas
100142423,Female,60861.4,6,Junior Associate,Full time,Salary,Pricing Analytics,Europe
100579909,Female,67500.0,10,Junior Associate,Full time,Salary,Government Consulting,Americas
100920353,Female,51498.11,4,Team Lead,Full time,Salary,Research,Europe
100348868,Male,101092.95,21,Manager,Full time,Salary,Patent Law,Europe
100625414,Male,146775.0,20,Manger II,Full time,Salary,Expansion,Americas
100131088,Female,53370.77,12,Senior Associate,Full time,Salary,Strategy,Europe
100188198,Female,225000.0,18,Director,Full time,Salary,Client Techology,Americas
100467270,Female,58500.0,4,Second Year Associate,Full time,Salary,Customer Experience,Americas
100922521,Female,32846.31,10,Team Lead,Full time,Salary,Strategy,Americas
100691300,Male,36004.8,1,Second Year Associate,Full time,Hourly,Catering,Americas
100221292,Male,30517.43,10,Junior Associate,Full time,Salary,Catering,Europe
100747590,Female,115875.0,12,Manager,Full time,Salary,IPO Strategy,Americas
100155160,Male,119250.0,11,Manager,Full time,Salary,Customer Experience,Americas
100413677,Female,32292.0,1,Second Year Associate,Full time,Hourly,Catering,Americas
100764474,Male,43014.57,15,Team Lead,Full time,Salary,Research,Europe
100737144,Male,24278.89,5,Senior Associate,Full time,Salary,Client Strategy,Americas
100284257,Female,51051.94,10,Junior Associate,Full time,Salary,Customer Experience,Europe
100866064,Male,162000.0,5,Director,Full time,Salary,Strategy,Americas
100263995,Female,21840.0,29,Entry Level,Full time,Hourly,Catering,Americas
100962116,Female,110467.5,5,Team Lead,Full time,Salary,Technology Services,Americas
100053976,Female,50212.5,9,Team Lead,Full time,Salary,Catering,Americas
100847143,Male,20280.0,10,Entry Level,Full time,Hourly,Catering,Americas
100141513,Female,49500.0,8,Second Year Associate,Full time,Salary,Client Strategy,Americas
100089849,Male,59019.0,13,Team Lead,Full time,Salary,Catering,Americas
100841347,Male,375000.0,29,Director,Full time,Salary,Leadership,Americas
100578137,Female,93750.0,7,Junior Associate,Full time,Salary,Technology Services,Americas
100408697,Female,105000.0,7,Team Lead,Full time,Salary,R&D,Americas
100634944,Male,52500.0,8,Junior Associate,Full time,Salary,Government Consulting,Americas
100501537,Female,133875.0,19,Manager,Full time,Salary,Investment,Americas
100829332,Male,58500.0,8,Team Lead,Full time,Salary,Catering,Americas
100658892,Female,165000.0,22,Manger II,Full time,Salary,Technology Services,Americas
100312537,Male,51498.11,5,Junior Associate,Full time,Salary,Expansion,Europe
100494906,Male,25910.82,21,Entry Level,Full time,Hourly,Research,Americas
100174665,Male,93750.0,13,Second Year Associate,Full time,Salary,Expansion,Americas
100026193,Female,52509.6,6,Junior Associate,Full time,Hourly,Patent Law,Americas
100960525,Female,108150.0,10,Junior Associate,Full time,Salary,Technology Services,Americas
100552251,Female,193125.0,12,Director,Full time,Salary,Graphic Design,Americas
100952282,Male,75000.0,11,Senior Associate,Full time,Salary,Client Strategy,Americas
100591169,Female,86250.0,14,Team Lead,Full time,Salary,Client Strategy,Americas
100504919,Female,59482.5,8,Team Lead,Full time,Salary,Catering,Americas
100206272,Female,108750.0,9,Senior Associate,Full time,Salary,Technology Services,Americas
100405345,Male,123750.0,18,Senior Associate,Full time,Salary,Technology Services,Americas
100139701,Female,46720.8,20,Senior Associate,Full time,Salary,Investment,Americas
100123746,Male,206250.0,12,Manger II,Full time,Salary,Patent Law,Americas
100925812,Female,16423.15,7,Junior Associate,Full time,Salary,Catering,Americas
100322717,Male,181500.0,17,Manger II,Full time,Salary,Technology Services,Americas
100804529,Male,11044.51,7,Junior Associate,Full time,Salary,Customer Experience,Americas
100204604,Male,168750.0,17,Manger II,Full time,Salary,Expansion,Americas
100834115,Male,52500.0,8,Junior Associate,Full time,Salary,Catering,Americas
100845315,Female,37502.4,9,Entry Level,Full time,Hourly,Research,Americas
100046572,Female,29277.5,13,Team Lead,Full time,Salary,Client Strategy,Americas
100013676,Female,29962.54,5,Junior Associate,Full time,Salary,Catering,Europe
100445722,Female,46800.0,4,Second Year Associate,Full time,Hourly,R&D,Americas
100944446,Male,93750.0,34,Team Lead,Full time,Salary,Expansion,Americas
100290467,Female,47655.47,9,Senior Associate,Full time,Salary,Customer Experience,Asia
100419831,Female,146250.0,10,Manager,Full time,Salary,Patent Law,Americas
100183693,Male,43875.0,3,Second Year Associate,Full time,Salary,Investment,Americas
100385039,Female,56250.0,10,Second Year Associate,Full time,Salary,Strategy,Americas
100697400,Female,69683.61,11,Senior Associate,Full time,Salary,Technology Services,Europe
100758612,Female,42134.82,3,Junior Associate,Full time,Salary,IPO Strategy,Europe
100837061,Male,116250.0,22,Team Lead,Full time,Salary,Technology Services,Americas
100617362,Male,169312.5,12,Sr Manager,Full time,Salary,Research,Americas
100247374,Female,89062.5,7,Team Lead,Full time,Salary,R&D,Americas
100270372,Male,63750.0,22,Junior Associate,Full time,Salary,Expansion,Americas
100498636,Female,26250.0,2,Entry Level,Full time,Salary,Client Strategy,Americas
100316998,Female,56250.0,6,Junior Associate,Full time,Salary,Customer Experience,Americas
100726404,Male,23400.0,2,Entry Level,Full time,Hourly,Catering,Americas
100423167,Male,120000.0,15,Senior Associate,Full time,Salary,Technology Services,Americas
100723749,Female,77250.0,5,Manager,Full time,Salary,Graphic Design,Americas
100218101,Male,39000.0,13,Junior Associate,Full time,Hourly,Government Consulting,Americas
100009387,Female,92663.42,12,Manager,Full time,Salary,R&D,Asia
100525042,Male,82500.0,9,Team Lead,Full time,Salary,Customer Experience,Americas
100890970,Female,67671.63,6,Team Lead,Full time,Salary,Expansion,Oceania
100038302,Female,67500.0,4,Senior Associate,Full time,Salary,Client Strategy,Americas
100473712,Female,32760.0,5,Second Year Associate,Full time,Hourly,Catering,Americas
100887530,Female,63750.0,7,Junior Associate,Full time,Salary,Graphic Design,Americas
100221484,Female,243750.0,14,Sr Manager,Full time,Salary,Technology Services,Americas
100214876,Male,17596.24,8,Junior Associate,Full time,Salary,Catering,Americas
100843595,Female,30517.43,3,Junior Associate,Full time,Salary,Catering,Europe
100062801,Male,194400.0,10,Manager,Full time,Salary,Client Techology,Americas
100414508,Female,27315.6,16,Entry Level,Full time,Hourly,Research,Americas
100233440,Male,25911.6,6,Entry Level,Full time,Hourly,Research,Americas
100276689,Female,60000.0,8,Senior Associate,Full time,Salary,Client Strategy,Americas
100369598,Male,65662.5,0,Second Year Associate,Full time,Salary,Expansion,Americas
100851030,Female,45000.0,3,Junior Associate,Full time,Salary,Catering,Americas
100058577,Female,57937.5,16,Second Year Associate,Full time,Salary,Investment,Americas
100596967,Female,25911.6,36,Entry Level,Full time,Hourly,Research,Americas
100706561,Female,25749.05,0,Second Year Associate,Full time,Salary,Catering,Europe
100410262,Female,45144.0,5,Junior Associate,Full time,Salary,Catering,Americas
100602881,Male,33930.0,41,Junior Associate,Part time,Hourly,Government Consulting,Americas
100653526,Male,86625.0,8,Team Lead,Full time,Salary,Client Strategy,Americas
100013886,Female,21748.95,4,Junior Associate,Full time,Salary,Customer Experience,Americas
100026393,Male,160650.0,12,Manger II,Full time,Salary,Client Strategy,Americas
100781667,Female,59999.94,11,Second Year Associate,Full time,Hourly,Strategy,Americas
100846575,Female,82500.0,9,Senior Associate,Full time,Salary,Graphic Design,Americas
100540944,Male,150003.75,16,Manager,Full time,Salary,Technology Services,Americas
100571331,Male,71607.51,10,Manager,Full time,Salary,Expansion,Europe
100985546,Male,77625.0,3,Senior Associate,Full time,Salary,Technology Services,Americas
100355605,Female,73387.5,5,Manager,Full time,Salary,Catering,Americas
100126059,Male,168750.0,17,Sr Manager,Full time,Salary,Expansion,Americas
100526692,Male,25911.6,5,Entry Level,Full time,Hourly,Research,Americas
100615473,Female,142322.05,9,Manager,Full time,Salary,Investment,Europe
100921147,Female,40500.0,5,Junior Associate,Full time,Salary,Catering,Americas
100028946,Male,92700.0,7,Team Lead,Full time,Salary,Client Strategy,Americas
100139852,Female,35704.26,16,Senior Associate,Full time,Salary,Expansion,Americas
100905626,Female,91619.82,17,Manger II,Full time,Salary,Research,Europe
100159927,Male,33774.0,3,Entry Level,Full time,Hourly,Research,Americas
100212116,Female,32760.0,0,Second Year Associate,Full time,Hourly,Catering,Americas
100817217,Male,131250.0,26,Team Lead,Full time,Salary,Technology Services,Americas
100998819,Female,38966.14,9,Senior Associate,Full time,Salary,Client Strategy,Europe
100441199,Male,86250.0,12,Second Year Associate,Full time,Salary,Technology Services,Americas
100546368,Female,29485.45,6,Junior Associate,Full time,Salary,Catering,Europe
100688148,Male,60000.0,17,Junior Associate,Full time,Salary,Client Techology,Americas
100280172,Male,70224.7,8,Senior Associate,Full time,Salary,Client Strategy,Europe
100924565,Male,103500.0,6,Manager,Full time,Salary,Expansion,Americas
100466245,Female,34540.1,6,Junior Associate,Full time,Salary,Catering,Europe
100497944,Female,8330.99,0,Second Year Associate,Full time,Salary,Catering,Americas
100156595,Male,55123.2,4,Entry Level,Full time,Salary,Investment,Americas
100730832,Male,25910.82,7,Entry Level,Full time,Hourly,Research,Americas
100089244,Male,90000.0,5,Team Lead,Full time,Salary,Technology Services,Americas
100568181,Male,71250.0,15,Team Lead,Full time,Salary,Graphic Design,Americas
100653736,Male,39585.0,11,Junior Associate,Part time,Hourly,Government Consulting,Americas
100651215,Male,63767.5,12,Team Lead,Full time,Salary,Client Strategy,Oceania
100783918,Female,112631.95,7,Manager,Full time,Salary,Expansion,Americas
100063423,Male,51845.18,9,Senior Associate,Full time,Salary,Investment,Asia
100556926,Female,60000.0,6,Second Year Associate,Full time,Salary,Client Techology,Americas
100393143,Male,183750.0,7,Director,Full time,Salary,Graphic Design,Americas
100678681,Female,66000.0,4,Junior Associate,Full time,Salary,Client Strategy,Americas
100416728,Female,73387.5,8,Junior Associate,Full time,Salary,Customer Experience,Americas
100448064,Female,45000.0,7,Junior Associate,Full time,Salary,Catering,Americas
100987634,Male,150000.0,16,Manager,Full time,Salary,Technology Services,Americas
100326495,Male,48220.96,10,Junior Associate,Full time,Salary,Customer Experience,Europe
100699515,Female,135000.0,9,Team Lead,Full time,Salary,Technology Services,Americas
100490946,Female,60750.0,8,Junior Associate,Full time,Salary,R&D,Americas
100550478,Female,105000.0,18,Manager,Full time,Salary,Client Strategy,Americas
100839882,Female,46462.5,7,Junior Associate,Full time,Salary,Catering,Americas
100827707,Female,72000.0,3,Senior Associate,Full time,Salary,Client Strategy,Americas
100969350,Male,42750.0,1,Junior Associate,Full time,Salary,Client Strategy,Americas
100789656,Male,101250.0,7,Team Lead,Full time,Salary,Investment,Americas
100766502,Male,40560.0,15,Entry Level,Full time,Hourly,Government Consulting,Americas
100727258,Male,117750.0,9,Senior Associate,Full time,Salary,Technology Services,Americas
100810362,Female,122062.5,6,Team Lead,Full time,Salary,Technology Services,Americas
100457544,Female,126404.45,13,Sr Manager,Full time,Salary,IPO Strategy,Europe
100865324,Female,98262.0,25,Manager,Full time,Salary,Client Strategy,Americas
100101339,Female,10711.28,8,Second Year Associate,Full time,Salary,Catering,Americas
100838053,Female,39780.0,5,Second Year Associate,Full time,Hourly,Catering,Americas
100396083,Male,185400.0,20,Manager,Full time,Salary,Technology Services,Americas
100055654,Female,24102.0,19,Entry Level,Full time,Hourly,Research,Americas
100910292,Male,63750.0,9,Team Lead,Full time,Salary,Catering,Americas
100264529,Male,108750.0,6,Junior Associate,Full time,Salary,Technology Services,Americas
100473992,Male,52500.01,5,Second Year Associate,Full time,Hourly,Patent Law,Americas
100396746,Male,25911.6,15,Entry Level,Full time,Hourly,Research,Americas
100150054,Female,75000.0,6,Senior Associate,Full time,Salary,Client Strategy,Americas
100457451,Female,52500.0,5,Second Year Associate,Full time,Salary,Client Strategy,Americas
100379468,Male,225000.0,26,Director II,Full time,Salary,Client Strategy,Americas
100704905,Female,37500.0,4,Entry Level,Full time,Salary,Graphic Design,Americas
100053610,Female,144000.0,22,Manger II,Full time,Salary,Client Strategy,Americas
100303188,Male,123750.0,7,Manager,Full time,Salary,Investment,Americas
100411602,Female,71250.0,8,Team Lead,Full time,Salary,Graphic Design,Americas
100605921,Male,90900.0,13,Senior Associate,Full time,Salary,Customer Experience,Americas
100510167,Female,138750.0,20,Team Lead,Full time,Salary,R&D,Americas
100728387,Female,93632.92,9,Manager,Full time,Salary,Strategy,Europe
100071660,Female,150000.0,16,Sr Manager,Full time,Salary,Client Strategy,Americas
100436837,Female,117213.75,7,Senior Associate,Full time,Salary,Technology Services,Americas
100688771,Male,62494.36,12,Team Lead,Full time,Salary,Customer Experience,Europe
100203139,Female,75000.0,9,Senior Associate,Full time,Salary,R&D,Americas
100914894,Female,84000.0,7,Manager,Full time,Salary,Client Strategy,Americas
100213290,Male,97500.0,8,Junior Associate,Full time,Salary,Technology Services,Americas
100359778,Female,90000.0,11,Senior Associate,Full time,Salary,Customer Experience,Americas
100479376,Female,111750.0,6,Senior Associate,Full time,Salary,Technology Services,Americas
100533891,Male,112500.0,15,Manager,Full time,Salary,Customer Experience,Americas
100330454,Female,58500.0,6,Team Lead,Full time,Salary,Catering,Americas
100560978,Female,17449.61,3,Junior Associate,Full time,Salary,Catering,Americas
100158035,Female,54657.86,8,Junior Associate,Full time,Salary,Customer Experience,Oceania
100992077,Male,56179.76,9,Senior Associate,Full time,Salary,Customer Experience,Europe
100082710,Male,180000.0,12,Manager,Full time,Salary,Technology Services,Americas
100037660,Male,198750.0,10,Manger II,Full time,Salary,Technology Services,Americas
100682323,Male,49500.0,7,Junior Associate,Full time,Salary,Catering,Americas
100679734,Male,60000.0,3,Second Year Associate,Full time,Salary,Strategy,Americas
100102620,Female,45000.0,3,Entry Level,Full time,Salary,Graphic Design,Americas
100716261,Male,30363.23,6,Junior Associate,Full time,Salary,Catering,Europe
100005067,Male,123750.0,8,Senior Associate,Full time,Salary,Technology Services,Americas
100917376,Female,138750.0,9,Manger II,Full time,Salary,Strategy,Americas
100624539,Male,39000.0,5,Junior Associate,Full time,Hourly,Government Consulting,Americas
100295596,Male,48750.0,3,Junior Associate,Full time,Salary,Client Strategy,Americas
100411114,Female,97500.0,11,Senior Associate,Full time,Salary,Technology Services,Americas
100845629,Female,53100.0,6,Senior Associate,Full time,Salary,Customer Experience,Americas
100335494,Male,112500.0,6,Senior Associate,Full time,Salary,Technology Services,Americas
100718540,Female,92287.5,9,Team Lead,Full time,Salary,Customer Experience,Americas
100974948,Male,86250.0,10,Team Lead,Full time,Salary,Expansion,Americas
100564210,Female,75000.0,6,Team Lead,Full time,Salary,Expansion,Americas
100844429,Male,51002.25,9,Junior Associate,Full time,Salary,Expansion,Americas
100130236,Female,54758.68,8,Team Lead,Full time,Salary,Catering,Europe
100748610,Male,25911.6,4,Entry Level,Full time,Hourly,Research,Americas
100583629,Male,206250.0,17,Sr Manager,Full time,Salary,Strategy,Americas
100696603,Female,89251.5,8,Team Lead,Full time,Salary,Investment,Americas
100319126,Male,105000.0,3,Senior Associate,Full time,Salary,Technology Services,Americas
100208535,Male,28755.0,10,Team Lead,Full time,Salary,Catering,Africa
100592100,Female,21115.49,13,Junior Associate,Full time,Salary,Client Strategy,Americas
100470503,Male,119025.0,12,Manger II,Full time,Salary,Expansion,Americas
100171683,Male,75000.0,4,Senior Associate,Full time,Salary,Client Strategy,Americas
100045888,Female,51000.0,7,Senior Associate,Full time,Salary,Government Consulting,Americas
100046480,Female,101062.5,13,Senior Associate,Full time,Salary,Technology Services,Americas
100202271,Female,30995.1,8,Junior Associate,Full time,Salary,Catering,Europe
100336089,Male,48750.0,7,Entry Level,Full time,Salary,Technology Services,Americas
100531288,Female,67500.0,1,Junior Associate,Full time,Salary,Government Consulting,Americas
100118801,Male,63750.0,6,Junior Associate,Full time,Salary,Customer Experience,Americas
100719247,Male,123750.0,13,Manager,Full time,Salary,Research,Americas
100080519,Female,101250.0,10,Team Lead,Full time,Salary,R&D,Americas
100290209,Female,25798.5,39,Entry Level,Full time,Hourly,Research,Americas
100022486,Male,32760.0,23,Entry Level,Full time,Hourly,Research,Americas
100929954,Male,157500.0,6,Manager,Full time,Salary,Technology Services,Americas
100424503,Male,60000.0,6,Team Lead,Full time,Salary,Research,Americas
100423997,Male,172500.0,6,Team Lead,Full time,Salary,Technology Services,Americas
100555046,Female,58499.1,9,Senior Associate,Full time,Salary,Client Strategy,Americas
100785227,Female,49185.38,7,Team Lead,Full time,Salary,Catering,Europe
100858549,Male,138000.0,10,Team Lead,Full time,Salary,Technology Services,Americas
100385373,Female,25911.6,2,Entry Level,Full time,Hourly,Research,Americas
100472470,Female,103500.0,6,Manager,Full time,Salary,Investment,Americas
100771090,Male,81750.0,8,Team Lead,Full time,Salary,Customer Experience,Americas
100585950,Male,73387.5,5,Junior Associate,Full time,Salary,Technology Services,Americas
100245462,Female,47430.43,10,Junior Associate,Full time,Salary,Customer Experience,Asia
100580241,Male,44157.28,11,Junior Associate,Full time,Salary,Expansion,Europe
100505342,Female,60234.54,8,Senior Associate,Full time,Salary,Client Strategy,Europe
100547057,Female,67500.0,5,Senior Associate,Full time,Salary,Client Strategy,Americas
100020641,Female,71249.4,4,Junior Associate,Full time,Salary,Expansion,Americas
100854862,Female,44313.75,3,Junior Associate,Full time,Salary,Strategy,Americas
100985602,Male,71250.0,13,Senior Associate,Full time,Salary,Client Strategy,Americas
100716545,Female,74295.54,11,Manger II,Full time,Salary,Customer Experience,Americas
100316093,Male,168750.0,15,Team Lead,Full time,Salary,Technology Services,Americas
100153765,Male,32760.0,4,Second Year Associate,Full time,Hourly,Catering,Americas
100249343,Female,33906.6,1,Second Year Associate,Full time,Hourly,Catering,Americas
100024274,Male,66000.0,16,Team Lead,Full time,Salary,Research,Americas
100686770,Male,67395.3,11,Senior Associate,Full time,Salary,Customer Experience,Europe
100168958,Female,57937.5,7,Team Lead,Full time,Salary,Catering,Americas
100592597,Male,29962.54,0,Second Year Associate,Full time,Salary,Investment,Europe
100877902,Male,60000.0,5,Second Year Associate,Full time,Salary,Technology Services,Americas
100711223,Female,58050.0,5,Team Lead,Full time,Salary,Catering,Americas
100516331,Male,59774.37,10,Team Lead,Full time,Salary,Catering,Americas
100555292,Male,47955.97,20,Team Lead,Full time,Salary,Research,Europe
100285601,Male,66000.38,9,Junior Associate,Full time,Salary,Customer Experience,Americas
100395811,Male,25911.6,10,Entry Level,Full time,Hourly,Research,Americas
100323765,Female,75000.0,18,Senior Associate,Full time,Salary,Strategy,Americas
100101535,Female,39375.0,7,Junior Associate,Full time,Salary,Catering,Americas
100932948,Male,120000.0,10,Manager,Full time,Salary,Investment,Americas
100291571,Male,71070.0,24,Senior Associate,Full time,Salary,Client Strategy,Americas
100073839,Male,134104.27,18,Manger II,Full time,Salary,Technology Services,Europe
100246828,Female,176250.0,9,Team Lead,Full time,Salary,Technology Services,Americas
100566710,Female,89997.3,7,Manger II,Full time,Salary,Catering,Americas
100766078,Male,67837.05,8,Team Lead,Full time,Salary,Pricing Analytics,Europe
100360212,Female,49612.5,2,Junior Associate,Full time,Salary,Client Strategy,Americas
100830450,Female,135000.0,7,Team Lead,Full time,Salary,Patent Law,Americas
100714345,Female,30677.4,1,Second Year Associate,Full time,Hourly,Catering,Americas
100056618,Female,90000.0,12,Senior Associate,Full time,Salary,Expansion,Americas
