employee_id,gender,annual_salary_amount_in_usd,job_experience,job_pay_level,full_or_part_time,hourly_or_salary,job_family_group,job_continent,pay_gap_perc
100779298,Female,63495.0,5,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100466637,Male,48750.0,5,Second Year Associate,Full time,Salary,Investment,Americas,22.35
100967826,Female,82500.0,7,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100990643,Female,21115.49,8,Senior Associate,Full time,Salary,Expansion,Americas,17.29
100265927,Male,104793.75,8,Manager,Full time,Salary,Pricing Analytics,Americas,-4.56
100962714,Female,120000.0,15,Manager,Full time,Salary,Pricing Analytics,Americas,-4.56
100090682,Female,83700.0,10,Team Lead,Full time,Salary,Investment,Americas,22.35
100265253,Female,25749.05,3,Second Year Associate,Full time,Salary,Catering,Europe,-2.88
100405823,Male,67500.0,6,Senior Associate,Full time,Salary,Expansion,Americas,17.29
100666680,Female,73500.0,9,Junior Associate,Full time,Salary,Investment,Americas,22.35
100379731,Male,112500.0,28,Manager,Full time,Salary,Research,Americas,0.0
100883328,Male,75000.0,12,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100105129,Female,52500.0,3,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100421875,Female,25911.6,35,Entry Level,Full time,Hourly,Research,Americas,0.0
100796460,Female,50212.5,6,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100124799,Female,43606.08,12,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100377213,Female,49500.0,3,Second Year Associate,Full time,Salary,R&D,Americas,-10.52
100318723,Male,67500.0,4,Senior Associate,Full time,Salary,IPO Strategy,Americas,-29.53
100562928,Male,112500.0,8,Manager,Full time,Salary,Pricing Analytics,Americas,-4.56
100457291,Female,80248.5,9,Team Lead,Full time,Salary,Customer Experience,Americas,10.48
100148361,Male,21386.7,27,Senior Associate,Full time,Salary,Expansion,Americas,17.29
100842163,Female,32760.0,2,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100464825,Male,82498.88,3,Senior Associate,Full time,Salary,Pricing Analytics,Americas,-4.56
100443147,Female,65025.0,2,Team Lead,Full time,Salary,Strategy,Americas,34.74
100405645,Female,138750.0,9,Manager,Full time,Salary,Technology Services,Americas,16.17
100510770,Male,150002.63,8,Manger II,Full time,Salary,Client Strategy,Americas,6.59
100240033,Male,90768.75,9,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100113785,Male,63750.0,9,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100612788,Male,33930.0,40,Junior Associate,Part time,Hourly,Government Consulting,Americas,0.0
100176604,Female,51000.06,8,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100533537,Male,87340.79,11,Manager,Full time,Salary,Customer Experience,Europe,10.48
100373150,Female,25910.82,5,Entry Level,Full time,Hourly,Research,Americas,0.0
100488151,Male,89138.54,8,Manager,Full time,Salary,Pricing Analytics,Europe,-4.56
100832011,Male,53838.93,9,Senior Associate,Full time,Salary,Client Strategy,Europe,6.59
100894289,Male,131250.0,8,Manager,Full time,Salary,Patent Law,Americas,-16.4
100686089,Female,93632.92,10,Manager,Full time,Salary,Client Strategy,Europe,6.59
100915449,Male,25911.6,9,Entry Level,Full time,Hourly,Research,Americas,0.0
100262094,Female,13607.76,5,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100003788,Male,40407.87,9,Second Year Associate,Full time,Salary,Strategy,Asia,34.74
100893528,Male,94500.0,7,Team Lead,Full time,Salary,Client Techology,Americas,-2.01
100753445,Female,57937.5,5,Team Lead,Full time,Salary,Catering,Americas,-2.88
100927404,Male,90000.0,2,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100798122,Male,148242.75,11,Manager,Full time,Salary,Technology Services,Americas,16.17
100298835,Female,9080.19,6,Junior Associate,Full time,Salary,Catering,Africa,-2.88
100620915,Female,84497.63,11,Team Lead,Full time,Salary,R&D,Europe,-10.52
100527655,Female,29485.45,8,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100882036,Female,50546.47,16,Team Lead,Full time,Salary,Catering,Europe,-2.88
100088412,Female,52530.0,5,Team Lead,Full time,Salary,Catering,Americas,-2.88
100752878,Male,142494.0,14,Manger II,Full time,Salary,R&D,Americas,-10.52
100142483,Male,35256.0,7,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100991352,Male,76125.0,5,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100370653,Female,75000.0,13,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100195759,Female,60758.41,10,Team Lead,Full time,Salary,Strategy,Europe,34.74
100550810,Female,74503.77,8,Manger II,Full time,Salary,Catering,Europe,-2.88
100826501,Male,117041.16,4,Manager,Full time,Salary,Pricing Analytics,Europe,-4.56
100569832,Male,138750.0,7,Manger II,Full time,Salary,Expansion,Americas,17.29
100142423,Female,60861.4,6,Junior Associate,Full time,Salary,Pricing Analytics,Europe,-4.56
100579909,Female,67500.0,10,Junior Associate,Full time,Salary,Government Consulting,Americas,0.0
100920353,Female,51498.11,4,Team Lead,Full time,Salary,Research,Europe,0.0
100348868,Male,101092.95,21,Manager,Full time,Salary,Patent Law,Europe,-16.4
100625414,Male,146775.0,20,Manger II,Full time,Salary,Expansion,Americas,17.29
100131088,Female,53370.77,12,Senior Associate,Full time,Salary,Strategy,Europe,34.74
100188198,Female,225000.0,18,Director,Full time,Salary,Client Techology,Americas,-2.01
100467270,Female,58500.0,4,Second Year Associate,Full time,Salary,Customer Experience,Americas,10.48
100922521,Female,32846.31,10,Team Lead,Full time,Salary,Strategy,Americas,34.74
100691300,Male,36004.8,1,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100221292,Male,30517.43,10,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100747590,Female,115875.0,12,Manager,Full time,Salary,IPO Strategy,Americas,-29.53
100155160,Male,119250.0,11,Manager,Full time,Salary,Customer Experience,Americas,10.48
100413677,Female,32292.0,1,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100764474,Male,43014.57,15,Team Lead,Full time,Salary,Research,Europe,0.0
100737144,Male,24278.89,5,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100284257,Female,51051.94,10,Junior Associate,Full time,Salary,Customer Experience,Europe,10.48
100866064,Male,162000.0,5,Director,Full time,Salary,Strategy,Americas,34.74
100263995,Female,21840.0,29,Entry Level,Full time,Hourly,Catering,Americas,-2.88
100962116,Female,110467.5,5,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100053976,Female,50212.5,9,Team Lead,Full time,Salary,Catering,Americas,-2.88
100847143,Male,20280.0,10,Entry Level,Full time,Hourly,Catering,Americas,-2.88
100141513,Female,49500.0,8,Second Year Associate,Full time,Salary,Client Strategy,Americas,6.59
100089849,Male,59019.0,13,Team Lead,Full time,Salary,Catering,Americas,-2.88
100841347,Male,375000.0,29,Director,Full time,Salary,Leadership,Americas,37.58
100578137,Female,93750.0,7,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100408697,Female,105000.0,7,Team Lead,Full time,Salary,R&D,Americas,-10.52
100634944,Male,52500.0,8,Junior Associate,Full time,Salary,Government Consulting,Americas,0.0
100501537,Female,133875.0,19,Manager,Full time,Salary,Investment,Americas,22.35
100829332,Male,58500.0,8,Team Lead,Full time,Salary,Catering,Americas,-2.88
100658892,Female,165000.0,22,Manger II,Full time,Salary,Technology Services,Americas,16.17
100312537,Male,51498.11,5,Junior Associate,Full time,Salary,Expansion,Europe,17.29
100494906,Male,25910.82,21,Entry Level,Full time,Hourly,Research,Americas,0.0
100174665,Male,93750.0,13,Second Year Associate,Full time,Salary,Expansion,Americas,17.29
100026193,Female,52509.6,6,Junior Associate,Full time,Hourly,Patent Law,Americas,-16.4
100960525,Female,108150.0,10,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100552251,Female,193125.0,12,Director,Full time,Salary,Graphic Design,Americas,27.77
100952282,Male,75000.0,11,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100591169,Female,86250.0,14,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100504919,Female,59482.5,8,Team Lead,Full time,Salary,Catering,Americas,-2.88
100206272,Female,108750.0,9,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100405345,Male,123750.0,18,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100139701,Female,46720.8,20,Senior Associate,Full time,Salary,Investment,Americas,22.35
100123746,Male,206250.0,12,Manger II,Full time,Salary,Patent Law,Americas,-16.4
100925812,Female,16423.15,7,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100322717,Male,181500.0,17,Manger II,Full time,Salary,Technology Services,Americas,16.17
100804529,Male,11044.51,7,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100204604,Male,168750.0,17,Manger II,Full time,Salary,Expansion,Americas,17.29
100834115,Male,52500.0,8,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100845315,Female,37502.4,9,Entry Level,Full time,Hourly,Research,Americas,0.0
100046572,Female,29277.5,13,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100013676,Female,29962.54,5,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100445722,Female,46800.0,4,Second Year Associate,Full time,Hourly,R&D,Americas,-10.52
100944446,Male,93750.0,34,Team Lead,Full time,Salary,Expansion,Americas,17.29
100290467,Female,47655.47,9,Senior Associate,Full time,Salary,Customer Experience,Asia,10.48
100419831,Female,146250.0,10,Manager,Full time,Salary,Patent Law,Americas,-16.4
100183693,Male,43875.0,3,Second Year Associate,Full time,Salary,Investment,Americas,22.35
100385039,Female,56250.0,10,Second Year Associate,Full time,Salary,Strategy,Americas,34.74
100697400,Female,69683.61,11,Senior Associate,Full time,Salary,Technology Services,Europe,16.17
100758612,Female,42134.82,3,Junior Associate,Full time,Salary,IPO Strategy,Europe,-29.53
100837061,Male,116250.0,22,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100617362,Male,169312.5,12,Sr Manager,Full time,Salary,Research,Americas,0.0
100247374,Female,89062.5,7,Team Lead,Full time,Salary,R&D,Americas,-10.52
100270372,Male,63750.0,22,Junior Associate,Full time,Salary,Expansion,Americas,17.29
100498636,Female,26250.0,2,Entry Level,Full time,Salary,Client Strategy,Americas,6.59
100316998,Female,56250.0,6,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100726404,Male,23400.0,2,Entry Level,Full time,Hourly,Catering,Americas,-2.88
100423167,Male,120000.0,15,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100723749,Female,77250.0,5,Manager,Full time,Salary,Graphic Design,Americas,27.77
100218101,Male,39000.0,13,Junior Associate,Full time,Hourly,Government Consulting,Americas,0.0
100009387,Female,92663.42,12,Manager,Full time,Salary,R&D,Asia,-10.52
100525042,Male,82500.0,9,Team Lead,Full time,Salary,Customer Experience,Americas,10.48
100890970,Female,67671.63,6,Team Lead,Full time,Salary,Expansion,Oceania,17.29
100038302,Female,67500.0,4,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100473712,Female,32760.0,5,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100887530,Female,63750.0,7,Junior Associate,Full time,Salary,Graphic Design,Americas,27.77
100221484,Female,243750.0,14,Sr Manager,Full time,Salary,Technology Services,Americas,16.17
100214876,Male,17596.24,8,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100843595,Female,30517.43,3,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100062801,Male,194400.0,10,Manager,Full time,Salary,Client Techology,Americas,-2.01
100414508,Female,27315.6,16,Entry Level,Full time,Hourly,Research,Americas,0.0
100233440,Male,25911.6,6,Entry Level,Full time,Hourly,Research,Americas,0.0
100276689,Female,60000.0,8,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100369598,Male,65662.5,0,Second Year Associate,Full time,Salary,Expansion,Americas,17.29
100851030,Female,45000.0,3,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100058577,Female,57937.5,16,Second Year Associate,Full time,Salary,Investment,Americas,22.35
100596967,Female,25911.6,36,Entry Level,Full time,Hourly,Research,Americas,0.0
100706561,Female,25749.05,0,Second Year Associate,Full time,Salary,Catering,Europe,-2.88
100410262,Female,45144.0,5,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100602881,Male,33930.0,41,Junior Associate,Part time,Hourly,Government Consulting,Americas,0.0
100653526,Male,86625.0,8,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100013886,Female,21748.95,4,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100026393,Male,160650.0,12,Manger II,Full time,Salary,Client Strategy,Americas,6.59
100781667,Female,59999.94,11,Second Year Associate,Full time,Hourly,Strategy,Americas,34.74
100846575,Female,82500.0,9,Senior Associate,Full time,Salary,Graphic Design,Americas,27.77
100540944,Male,150003.75,16,Manager,Full time,Salary,Technology Services,Americas,16.17
100571331,Male,71607.51,10,Manager,Full time,Salary,Expansion,Europe,17.29
100985546,Male,77625.0,3,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100355605,Female,73387.5,5,Manager,Full time,Salary,Catering,Americas,-2.88
100126059,Male,168750.0,17,Sr Manager,Full time,Salary,Expansion,Americas,17.29
100526692,Male,25911.6,5,Entry Level,Full time,Hourly,Research,Americas,0.0
100615473,Female,142322.05,9,Manager,Full time,Salary,Investment,Europe,22.35
100921147,Female,40500.0,5,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100028946,Male,92700.0,7,Team Lead,Full time,Salary,Client Strategy,Americas,6.59
100139852,Female,35704.26,16,Senior Associate,Full time,Salary,Expansion,Americas,17.29
100905626,Female,91619.82,17,Manger II,Full time,Salary,Research,Europe,0.0
100159927,Male,33774.0,3,Entry Level,Full time,Hourly,Research,Americas,0.0
100212116,Female,32760.0,0,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100817217,Male,131250.0,26,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100998819,Female,38966.14,9,Senior Associate,Full time,Salary,Client Strategy,Europe,6.59
100441199,Male,86250.0,12,Second Year Associate,Full time,Salary,Technology Services,Americas,16.17
100546368,Female,29485.45,6,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100688148,Male,60000.0,17,Junior Associate,Full time,Salary,Client Techology,Americas,-2.01
100280172,Male,70224.7,8,Senior Associate,Full time,Salary,Client Strategy,Europe,6.59
100924565,Male,103500.0,6,Manager,Full time,Salary,Expansion,Americas,17.29
100466245,Female,34540.1,6,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100497944,Female,8330.99,0,Second Year Associate,Full time,Salary,Catering,Americas,-2.88
100156595,Male,55123.2,4,Entry Level,Full time,Salary,Investment,Americas,22.35
100730832,Male,25910.82,7,Entry Level,Full time,Hourly,Research,Americas,0.0
100089244,Male,90000.0,5,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100568181,Male,71250.0,15,Team Lead,Full time,Salary,Graphic Design,Americas,27.77
100653736,Male,39585.0,11,Junior Associate,Part time,Hourly,Government Consulting,Americas,0.0
100651215,Male,63767.5,12,Team Lead,Full time,Salary,Client Strategy,Oceania,6.59
100783918,Female,112631.95,7,Manager,Full time,Salary,Expansion,Americas,17.29
100063423,Male,51845.18,9,Senior Associate,Full time,Salary,Investment,Asia,22.35
100556926,Female,60000.0,6,Second Year Associate,Full time,Salary,Client Techology,Americas,-2.01
100393143,Male,183750.0,7,Director,Full time,Salary,Graphic Design,Americas,27.77
100678681,Female,66000.0,4,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100416728,Female,73387.5,8,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100448064,Female,45000.0,7,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100987634,Male,150000.0,16,Manager,Full time,Salary,Technology Services,Americas,16.17
100326495,Male,48220.96,10,Junior Associate,Full time,Salary,Customer Experience,Europe,10.48
100699515,Female,135000.0,9,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100490946,Female,60750.0,8,Junior Associate,Full time,Salary,R&D,Americas,-10.52
100550478,Female,105000.0,18,Manager,Full time,Salary,Client Strategy,Americas,6.59
100839882,Female,46462.5,7,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100827707,Female,72000.0,3,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100969350,Male,42750.0,1,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100789656,Male,101250.0,7,Team Lead,Full time,Salary,Investment,Americas,22.35
100766502,Male,40560.0,15,Entry Level,Full time,Hourly,Government Consulting,Americas,0.0
100727258,Male,117750.0,9,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100810362,Female,122062.5,6,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100457544,Female,126404.45,13,Sr Manager,Full time,Salary,IPO Strategy,Europe,-29.53
100865324,Female,98262.0,25,Manager,Full time,Salary,Client Strategy,Americas,6.59
100101339,Female,10711.28,8,Second Year Associate,Full time,Salary,Catering,Americas,-2.88
100838053,Female,39780.0,5,Second Year Associate,Full time,Hourly,Catering,Americas,-2.88
100396083,Male,185400.0,20,Manager,Full time,Salary,Technology Services,Americas,16.17
100055654,Female,24102.0,19,Entry Level,Full time,Hourly,Research,Americas,0.0
100910292,Male,63750.0,9,Team Lead,Full time,Salary,Catering,Americas,-2.88
100264529,Male,108750.0,6,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100473992,Male,52500.01,5,Second Year Associate,Full time,Hourly,Patent Law,Americas,-16.4
100396746,Male,25911.6,15,Entry Level,Full time,Hourly,Research,Americas,0.0
100150054,Female,75000.0,6,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100457451,Female,52500.0,5,Second Year Associate,Full time,Salary,Client Strategy,Americas,6.59
100379468,Male,225000.0,26,Director II,Full time,Salary,Client Strategy,Americas,6.59
100704905,Female,37500.0,4,Entry Level,Full time,Salary,Graphic Design,Americas,27.77
100053610,Female,144000.0,22,Manger II,Full time,Salary,Client Strategy,Americas,6.59
100303188,Male,123750.0,7,Manager,Full time,Salary,Investment,Americas,22.35
100411602,Female,71250.0,8,Team Lead,Full time,Salary,Graphic Design,Americas,27.77
100605921,Male,90900.0,13,Senior Associate,Full time,Salary,Customer Experience,Americas,10.48
100510167,Female,138750.0,20,Team Lead,Full time,Salary,R&D,Americas,-10.52
100728387,Female,93632.92,9,Manager,Full time,Salary,Strategy,Europe,34.74
100071660,Female,150000.0,16,Sr Manager,Full time,Salary,Client Strategy,Americas,6.59
100436837,Female,117213.75,7,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100688771,Male,62494.36,12,Team Lead,Full time,Salary,Customer Experience,Europe,10.48
100203139,Female,75000.0,9,Senior Associate,Full time,Salary,R&D,Americas,-10.52
100914894,Female,84000.0,7,Manager,Full time,Salary,Client Strategy,Americas,6.59
100213290,Male,97500.0,8,Junior Associate,Full time,Salary,Technology Services,Americas,16.17
100359778,Female,90000.0,11,Senior Associate,Full time,Salary,Customer Experience,Americas,10.48
100479376,Female,111750.0,6,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100533891,Male,112500.0,15,Manager,Full time,Salary,Customer Experience,Americas,10.48
100330454,Female,58500.0,6,Team Lead,Full time,Salary,Catering,Americas,-2.88
100560978,Female,17449.61,3,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100158035,Female,54657.86,8,Junior Associate,Full time,Salary,Customer Experience,Oceania,10.48
100992077,Male,56179.76,9,Senior Associate,Full time,Salary,Customer Experience,Europe,10.48
100082710,Male,180000.0,12,Manager,Full time,Salary,Technology Services,Americas,16.17
100037660,Male,198750.0,10,Manger II,Full time,Salary,Technology Services,Americas,16.17
100682323,Male,49500.0,7,Junior Associate,Full time,Salary,Catering,Americas,-2.88
100679734,Male,60000.0,3,Second Year Associate,Full time,Salary,Strategy,Americas,34.74
100102620,Female,45000.0,3,Entry Level,Full time,Salary,Graphic Design,Americas,27.77
100716261,Male,30363.23,6,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100005067,Male,123750.0,8,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100917376,Female,138750.0,9,Manger II,Full time,Salary,Strategy,Americas,34.74
100624539,Male,39000.0,5,Junior Associate,Full time,Hourly,Government Consulting,Americas,0.0
100295596,Male,48750.0,3,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100411114,Female,97500.0,11,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100845629,Female,53100.0,6,Senior Associate,Full time,Salary,Customer Experience,Americas,10.48
100335494,Male,112500.0,6,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100718540,Female,92287.5,9,Team Lead,Full time,Salary,Customer Experience,Americas,10.48
100974948,Male,86250.0,10,Team Lead,Full time,Salary,Expansion,Americas,17.29
100564210,Female,75000.0,6,Team Lead,Full time,Salary,Expansion,Americas,17.29
100844429,Male,51002.25,9,Junior Associate,Full time,Salary,Expansion,Americas,17.29
100130236,Female,54758.68,8,Team Lead,Full time,Salary,Catering,Europe,-2.88
100748610,Male,25911.6,4,Entry Level,Full time,Hourly,Research,Americas,0.0
100583629,Male,206250.0,17,Sr Manager,Full time,Salary,Strategy,Americas,34.74
100696603,Female,89251.5,8,Team Lead,Full time,Salary,Investment,Americas,22.35
100319126,Male,105000.0,3,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100208535,Male,28755.0,10,Team Lead,Full time,Salary,Catering,Africa,-2.88
100592100,Female,21115.49,13,Junior Associate,Full time,Salary,Client Strategy,Americas,6.59
100470503,Male,119025.0,12,Manger II,Full time,Salary,Expansion,Americas,17.29
100171683,Male,75000.0,4,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100045888,Female,51000.0,7,Senior Associate,Full time,Salary,Government Consulting,Americas,0.0
100046480,Female,101062.5,13,Senior Associate,Full time,Salary,Technology Services,Americas,16.17
100202271,Female,30995.1,8,Junior Associate,Full time,Salary,Catering,Europe,-2.88
100336089,Male,48750.0,7,Entry Level,Full time,Salary,Technology Services,Americas,16.17
100531288,Female,67500.0,1,Junior Associate,Full time,Salary,Government Consulting,Americas,0.0
100118801,Male,63750.0,6,Junior Associate,Full time,Salary,Customer Experience,Americas,10.48
100719247,Male,123750.0,13,Manager,Full time,Salary,Research,Americas,0.0
100080519,Female,101250.0,10,Team Lead,Full time,Salary,R&D,Americas,-10.52
100290209,Female,25798.5,39,Entry Level,Full time,Hourly,Research,Americas,0.0
100022486,Male,32760.0,23,Entry Level,Full time,Hourly,Research,Americas,0.0
100929954,Male,157500.0,6,Manager,Full time,Salary,Technology Services,Americas,16.17
100424503,Male,60000.0,6,Team Lead,Full time,Salary,Research,Americas,0.0
100423997,Male,172500.0,6,Team Lead,Full time,Salary,Technology Services,Americas,16.17
100555046,Female,58499.1,9,Senior Associate,Full time,Salary,Client Strategy,Americas,6.59
100785227,Female,49185.38,7,Team Lead,Full time,Salary,Catering,Europe,-2.88
